"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]"
1,4.64027090096396,14.2679982593864,20.8775339899022
2,5.08440307863156,15.7584319058904,23.5324304757473
3,5.85353268519205,17.2004238491661,27.4808442464691
4,6.31178321057716,18.5085338289946,30.6270049276327
5,6.53730831596371,19.1621580815197,31.9694290227539
6,6.74745269781357,19.5910963884934,32.9025882917346
7,6.82856809677727,20.0204823093252,33.4032021543236
8,6.85506357467511,20.2162494088203,33.7242657361398
9,6.85679461184274,20.3494019593316,33.9099321224646
10,6.83779898368001,20.3743837994,33.9494121022505
11,6.81860633300381,20.3949728002526,33.9986888749859
12,6.80464079479051,20.3946137877745,34.0083602890025
